name,category_b,category_s,location,link
캠프오슬로,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/1266818071?entry=ple
하늘바라기글램핑,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/38415095?entry=ple
소금강자동차야영장,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/13421001?entry=ple
그자리야영장,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/1776094070?entry=ple
망상 제2오토캠핑장,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/35279358?entry=ple
베이스캠프글램핑,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/1055236451?entry=ple
칠봉 두루뭉 캠핑장,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/1136023254?entry=ple
바다캠핑장,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/11702219?entry=ple
북분솔밭캠핑장,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/1251329411?entry=ple
아름다운캠프,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/1277037112?entry=ple
마루노리캠핑장,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/15677960?entry=ple
덕산해변 캠핑장,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/1519355468?entry=ple
속초해수욕장국민여가캠핑장,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/32626044?entry=ple
태백산국립공원 소도야영장,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/1968735037?entry=ple
구름품은캠핑장,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/1069956130?entry=ple
라라플레이스,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/1648470201?entry=ple
별마로빌리지캠핑장,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/11780921?entry=ple
솔밭캠프장,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/12376873?entry=ple
춘천신촌캠프장,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/1067314319?entry=ple
동해글램핑,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/1173151139?entry=ple
춘천 왕터리조트,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/33211782?entry=ple
더시크릿가든 캠프지라운드 글램핑카라반,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/36459199?entry=ple
산으로캠핑장,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/33451826?entry=ple
여유캠핑장,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/1445537234?entry=ple
음악이흐르는숲,캠핑장,펜션,강원도,https://m.place.naver.com/place/12764494?entry=ple
코뿔소글램핑,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/1281498281?entry=ple
비브릿지풀빌라펜션,캠핑장,펜션,강원도,https://m.place.naver.com/place/1824311893?entry=ple
나조스트캠핑장,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/37700367?entry=ple
글램인스타,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/1450753770?entry=ple
카누글램핑펜션,캠핑장,펜션,강원도,https://m.place.naver.com/place/35297587?entry=ple
진밭골향기 캠핑장,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/32692567?entry=ple
