name,category_b,category_s,rating,review_cnt,review_url,location,address,img
등촌샤브칼국수 홍대점,식당,"칼국수,만두",,718.0,https://m.place.naver.com/restaurant/32050464/review/visitor,홍대,서울 마포구 홍익로 15,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180720_176%2F1532065351864w8PaM_JPEG%2Frkn0PbHBt92w4lkxf4aU3Yvo.jpg
BLACK&JACK,식당,"맥주,호프",4.71,254.0,https://m.place.naver.com/restaurant/1817611994/review/visitor,홍대,서울 마포구 와우산로29라길 11 1.5층,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231027_223%2F1698415358457VfpPD_JPEG%2F1698032172571.jpg
타프,식당,양식,4.65,201.0,https://m.place.naver.com/restaurant/1986704513/review/visitor,홍대,서울 마포구 동교로 108 1층,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210512_215%2F1620788011012otmYl_JPEG%2FYwggCVsHfoVAL2U-c4LnkQ--.jpeg.jpg
다노,식당,요리주점,,270.0,https://m.place.naver.com/restaurant/1504285835/review/visitor,홍대,서울 마포구 어울마당로5길 35 1층,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230508_37%2F1683547633021QQ3e5_JPEG%2F1682226498579-1.jpg
극락,식당,이자카야,,182.0,https://m.place.naver.com/restaurant/1779512227/review/visitor,홍대,서울 마포구 잔다리로 5 4층,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231024_2%2F1698075725958kbe7y_JPEG%2F1000000626.jpg
카타코토카페,식당,카레,4.52,483.0,https://m.place.naver.com/restaurant/37637666/review/visitor,홍대,서울 마포구 동교로 148-6 지층 일부,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210808_201%2F1628375786708DV9MI_JPEG%2F8niCghlWylTFAzeTkwl5_vYo.jpg
닥터로빈 AK플라자 홍대점,식당,이탈리아음식,4.35,1583.0,https://m.place.naver.com/restaurant/1852033106/review/visitor,홍대,서울 마포구 양화로 188 AK플라자 홍대 5층 8호,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230208_243%2F1675837021724ftLe9_JPEG%2FDSC00388.jpg
반티엔야오 카오위 홍대점,식당,중식당,,119.0,https://m.place.naver.com/restaurant/1764659275/review/visitor,홍대,서울 마포구 양화로 176 와이즈파크 3층,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230814_95%2F1691983082836y0MuF_JPEG%2F%25B8%25B6%25B6%25F3%25C4%25AB%25BF%25C0%25C0%25A7_-_%25D8%25AB%25D5%25B8.jpg
루프탑어반비치,식당,바(BAR),,263.0,https://m.place.naver.com/restaurant/1353029374/review/visitor,홍대,서울 마포구 독막로9길 38 6층,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240115_162%2F1705304984610KUs9q_JPEG%2FIMG_4559.jpeg
레이몬드 홍대점,식당,양식,,385.0,https://m.place.naver.com/restaurant/1126882398/review/visitor,홍대,서울 마포구 양화로18안길 15 1층,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230828_171%2F1693205741339EiD9d_JPEG%2FKakaoTalk_20230828_152430898.jpg
연남족발1987,식당,"족발,보쌈",,895.0,https://m.place.naver.com/restaurant/1068624619/review/visitor,홍대,서울 마포구 동교로 222 1층,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220816_197%2F1660635231681SVFp6_JPEG%2F%25C4%25A5IMG_0995.JPG
고요베이크샵,식당,"카페,디저트",4.67,2051.0,https://m.place.naver.com/restaurant/1176174041/review/visitor,홍대,서울 마포구 동교로 144-3 단독주택,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231107_203%2F1699329147763nEY2b_JPEG%2F30A543D8-DC95-406A-B09D-97CEFEB5BEAB.jpeg
철인7호 치킨 홍대점,식당,"치킨,닭강정",4.41,727.0,https://m.place.naver.com/restaurant/36803583/review/visitor,홍대,서울 마포구 양화로6길 99-3 지1층,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230705_76%2F1688523792002wIz2R_JPEG%2FIMG_1432.jpg
어쩌다와인,식당,와인,4.82,441.0,https://m.place.naver.com/restaurant/1217272268/review/visitor,홍대,서울 마포구 홍익로5안길 61,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200821_127%2F1598004286209rnc0c_JPEG%2F6g765zUhWmtfE-lt4qZQaLlz.jpg
김덕후의곱창조 홍대4호점,식당,"곱창,막창,양",4.44,285.0,https://m.place.naver.com/restaurant/1809282742/review/visitor,홍대,서울 마포구 와우산로29길 44 지1층 김덕후의 곱창조 홍대 4호점,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180503_226%2F1525333058835JxyAc_JPEG%2FW8rNGLZOdUZ-b-C1hEiJJTin.jpg
