name,review_url,score
맥스피드PC방 남부터미널점,https://m.place.naver.com/place/1995790360/review/visitor,0.82127696
게이트5 PC방,https://m.place.naver.com/place/1505930395/review/visitor,0.89085555
콤마PC CAFE 구의역점,https://m.place.naver.com/place/1925031490/review/visitor,0.8648625
덤프pc방,https://m.place.naver.com/place/1261320318/review/visitor,0.8233378
탑클래스 PC방 가락점,https://m.place.naver.com/place/1640010338/review/visitor,0.8772625
라이킷PC 장지점,https://m.place.naver.com/place/1022429883/review/visitor,0.78573585
마우스헌터pc방,https://m.place.naver.com/place/453678572/review/visitor,0.70167327
PeaK PC방 삼전,https://m.place.naver.com/place/37383730/review/visitor,0.47111014
라이온PC방 천호점,https://m.place.naver.com/place/20638712/review/visitor,0.66994727
탑스타 PC방 송파본점,https://m.place.naver.com/place/1331864064/review/visitor,0.58950764
엔탑pc방 천호동점,https://m.place.naver.com/place/1229770447/review/visitor,0.65559906
Zoo PC방,https://m.place.naver.com/place/21700953/review/visitor,0.9764018
비원PC방,https://m.place.naver.com/place/1215387655/review/visitor,0.8689703
쓰리팝 PC방,https://m.place.naver.com/place/1684797067/review/visitor,0.3110132
가자PC방,https://m.place.naver.com/place/1489949281/review/visitor,0.6629042
제로백PC 삼전역점,https://m.place.naver.com/place/1408035631/review/visitor,0.8435202
제로백PC 서초점,https://m.place.naver.com/place/1262021169/review/visitor,0.92174816
덤프PC,https://m.place.naver.com/place/1898734264/review/visitor,0.8985674
바이브PC방,https://m.place.naver.com/place/11649050/review/visitor,0.7553186
헌터PC방 석촌본점,https://m.place.naver.com/place/1564768628/review/visitor,0.80408674
제이엠티PC방,https://m.place.naver.com/place/1513251309/review/visitor,0.6866073
탑플레이스PC 서울반포점,https://m.place.naver.com/place/1924600623/review/visitor,0.854002
탑플레이스PC방,https://m.place.naver.com/place/1254288818/review/visitor,0.6653538
인디고PC방 양재점,https://m.place.naver.com/place/1611802848/review/visitor,0.6957836
블랙PC방,https://m.place.naver.com/place/1702181693/review/visitor,0.9129388
쓰리팝 PC방,https://m.place.naver.com/place/978475704/review/visitor,0.79586065
탑클래스pc방,https://m.place.naver.com/place/1966184150/review/visitor,0.652306
라이온시티PC,https://m.place.naver.com/place/1600100121/review/visitor,0.7306173
제로백PC 잠실학원사거리점,https://m.place.naver.com/place/1798004283/review/visitor,0.95212054
인디고PC 한남점,https://m.place.naver.com/place/1638423460/review/visitor,0.66461545
랭커PC 교대점,https://m.place.naver.com/place/1522113070/review/visitor,0.8093085
인디고PC방 성수점,https://m.place.naver.com/place/1039078105/review/visitor,0.938044
긱스타PC카페,https://m.place.naver.com/place/1167744696/review/visitor,0.7782342
하이엘pc방,https://m.place.naver.com/place/1891770943/review/visitor,0.89112526
리그PC카페,https://m.place.naver.com/place/1193153177/review/visitor,0.90759313
세븐 석촌점,https://m.place.naver.com/place/1888377512/review/visitor,0.79274094
앤유 피씨 송파점,https://m.place.naver.com/place/1138522194/review/visitor,0.83962584
샤먼PC카페,https://m.place.naver.com/place/38455243/review/visitor,0.9032844
비원PC 석촌동점,https://m.place.naver.com/place/1370709330/review/visitor,0.95758355
아이언PC,https://m.place.naver.com/place/1329010472/review/visitor,0.7805604
노블존PC방,https://m.place.naver.com/place/11877699/review/visitor,0.7075393
에코스PC방 구의점,https://m.place.naver.com/place/1361549204/review/visitor,0.77446747
아이비PC방,https://m.place.naver.com/place/11651643/review/visitor,0.8226491
시즌원PC방 가락본점,https://m.place.naver.com/place/1618178617/review/visitor,0.8268786
맵스피시방,https://m.place.naver.com/place/1088847378/review/visitor,0.8180661
앤탑PC방,https://m.place.naver.com/place/834268326/review/visitor,0.62380344
스카이캐슬pc방,https://m.place.naver.com/place/37577924/review/visitor,0.7988794
제로백PC 우면점,https://m.place.naver.com/place/1950401400/review/visitor,0.947433
놀자PC방,https://m.place.naver.com/place/1323928185/review/visitor,0.3874424
B one pc방,https://m.place.naver.com/place/1647131967/review/visitor,0.78074855
피에스타PC방 자양점,https://m.place.naver.com/place/1577706561/review/visitor,0.92336893
