name,category_b,category_s,rating,review_cnt,review_url,location,address,img,isoutdoor
3POP PC Cafe 포스코사거리점,pc방,PC방,4.62,93,https://m.place.naver.com/place/1507738773/review/visitor,강남,서울 강남구 삼성로 430 하이글로 빌딩 지하1층 3POP PC Cafe,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200715_234%2F1594817003177HaopR_JPEG%2Frb3LYZlk0Jkxa36XTYZDCcPU.jpg,0
아이센스리그PC 압구정점,pc방,PC방,,34,https://m.place.naver.com/place/1155006131/review/visitor,강남,서울 강남구 압구정로 326 지하1층,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191025_61%2F1571998258403bGPVy_JPEG%2FLEtW82xa_49Q4Br4v3ZEumuX.jpg,0
3POP PC CAFE,pc방,PC방,,11,https://m.place.naver.com/place/1961665585/review/visitor,강남,서울 강남구 학동로20길 13 지하 1층,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMzA5MTlfMTAw%2FMDAxNjk1MTA2OTA0NjQ4.aevyQcC2YLQo4lj7jS62tI6J31oR2MHtDsy2_MhTAQQg.SGk6GMRR_NuKkWTzxl3NYKleXFilP2Cbnzj5Lvb0mc8g.JPEG.ubuzzu%2FIMG_2356.jpg,0
제로백PC 매직엔 개포점,pc방,PC방,,82,https://m.place.naver.com/place/1435076493/review/visitor,강남,서울 강남구 개포로 223 지층,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220301_290%2F1646116559584xe0ia_JPEG%2F1646116316488_%25281%2529.jpg,0
PICK PC방,pc방,PC방,4.31,66,https://m.place.naver.com/place/1147912425/review/visitor,강남,서울 강남구 선릉로 667 지하1층,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200427_249%2F1587986806376yGXrB_JPEG%2F0ZGbVurSd7uBgzUwf8ToXpbB.jpg,0
단골PC Cafe,pc방,PC방,,19,https://m.place.naver.com/place/1089398306/review/visitor,강남,서울 강남구 논현로 868,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220619_163%2F1655607635677sFACc_JPEG%2FKakaoTalk_20220619_115929317_01.jpg,0
오즈아레나PC카페,pc방,PC방,4.3,74,https://m.place.naver.com/place/1189613706/review/visitor,강남,서울 강남구 자곡로 110 1층,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190524_39%2F15586892119461Uzdn_JPEG%2FUeIIExHSJb4HqocHDcao4wGp.jpg,0
강남탑 PC방,pc방,PC방,,10,https://m.place.naver.com/place/1306403456/review/visitor,강남,서울 강남구 역삼로 149 지하1층,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220604_47%2F16543475718944FhHh_JPEG%2FKakaoTalk_20220604_214949038.jpg,0
덤프 독스일원동1호점,pc방,PC방,4.64,54,https://m.place.naver.com/place/1236931579/review/visitor,강남,서울 강남구 일원로 53 소림빌딩 지하1층,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200130_290%2F1580390201580maEUE_JPEG%2FyFFnZG0NqsqDaAY-UJT0bPMI.jpg,0
친친PC,pc방,PC방,,81,https://m.place.naver.com/place/11644957/review/visitor,강남,서울 강남구 학동로20길 39,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210505_80%2F16201794672773e0dR_JPEG%2F5hidr7MebbYwIKEL7ixWzeTL.jpg,0
쓰리팝 대치점,pc방,PC방,,23,https://m.place.naver.com/place/100155918/review/visitor,강남,서울 강남구 도곡로 526 남평빌딩 지하1층 3pop 대치점,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170405_149%2F1491321430549hpFFo_PNG%2F186355408729591_0.png,0
제로백PC 삼성중앙역점,pc방,PC방,,58,https://m.place.naver.com/place/1658859949/review/visitor,강남,서울 강남구 봉은사로 467,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200407_136%2F1586252568336R3tv9_JPEG%2FBdKWvvuY07ei5dlY5uKqSiZ-.jpg,0
제로백 구룡역점,pc방,PC방,,34,https://m.place.naver.com/place/1345679923/review/visitor,강남,서울 강남구 선릉로8길 20 지하1층,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230627_93%2F1687831861908MBo8Y_PNG%2F%25C1%25A6%25B7%25CE%25B9%25E9%25B7%25CE%25B0%25ED1_%25BF%25F8%25C7%25FC.png,0
포텐PC방,pc방,PC방,4.5,40,https://m.place.naver.com/place/1270858794/review/visitor,강남,서울 강남구 압구정로 328 지하 1층 포텐 PC방,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200824_274%2F1598263164829dVxf3_JPEG%2FB6ZIOiDu8fOj66YugOIV6ULV.jpg,0
반트 PC,pc방,PC방,,57,https://m.place.naver.com/place/588529915/review/visitor,강남,서울 강남구 도곡로 448,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231229_286%2F1703834623274xYv4V_JPEG%2F1000019007.jpg,0
VRIZ 학동점,pc방,PC방,4.15,33,https://m.place.naver.com/place/1726575420/review/visitor,강남,서울 강남구 학동로 219,,0
제너스PC 대치점,pc방,PC방,4.57,89,https://m.place.naver.com/place/1552960548/review/visitor,강남,서울 강남구 남부순환로 2935 지하1층,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200811_224%2F1597150399525EHazn_JPEG%2FuivS6iJfusgSrS8s877zsdhB.jpeg.jpg,0
시그니처아레나PC방 도곡점,pc방,PC방,,15,https://m.place.naver.com/place/1842360864/review/visitor,강남,서울 강남구 남부순환로 2728 유일빌딩 지하 1층,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190414_283%2F1555231829748Biszw_PNG%2FXDWeYtVLDG6NyikE9j-zfAOF.png,0
헌터PC 언주역점,pc방,PC방,4.37,36,https://m.place.naver.com/place/1705226189/review/visitor,강남,서울 강남구 봉은사로29길 21,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230331_237%2F1680230419081YSlpd_JPEG%2FIMG_9961.JPG,0
덤프PC 일원동2호점,pc방,PC방,4.5,41,https://m.place.naver.com/place/1766789550/review/visitor,강남,서울 강남구 일원로9길 24 아조빌딩 지하1층,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200501_124%2F1588297876127ENyea_JPEG%2FhAQWfvCQunDOeHToc6eWodkR.jpg,0
아이센스PC 역삼점,pc방,PC방,,25,https://m.place.naver.com/place/1743764431/review/visitor,강남,서울 강남구 논현로 327 지하1층,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190129_52%2F1548734833252oMlYn_JPEG%2FPhotoGrid_1538303349317.jpg,0
이스포츠pc방 강남일원점,pc방,PC방,,21,https://m.place.naver.com/place/1020164480/review/visitor,강남,서울 강남구 일원로9길 30 지하 1층,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190820_252%2F1566312710888Dsu1P_JPEG%2F3XoKb3zuvVE0vyBSXOof6mTV.jpg,0
덤프PC방,pc방,PC방,,22,https://m.place.naver.com/place/1423902960/review/visitor,강남,서울 강남구 일원로9길 40 지하1층,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200130_89%2F1580348654193vXH56_JPEG%2FulLID4muJAdA-3uyGz7XjxlG.jpg,0
